"","FP","Total number of activities","Activity not yet due","Activity started-ahead of schedule","Activity started-progress on track","Activity started but progress delayed","Activity start is delayed","Activity Completed","Region","Access_modality","Focus","ESS_Categoty","Activity on track","Activity delayed","ESS_Category"
"1","FP001",62,35,4,19,4,0,0,"L. America & Caribbean","Direct","Cross-cutting","Category C",23,4,"Category C"
"2","FP001",62,11,0,11,40,0,0,"L. America & Caribbean","Direct","Cross-cutting","Category C",11,40,"Category C"
"3","FP002",9,2,0,7,0,0,0,"Africa","International","Adaptation","Category C",7,0,"Category C"
"4","FP002",9,0,0,7,2,0,0,"Africa","International","Adaptation","Category C",7,2,"Category C"
"5","FP005",5,0,0,2,2,0,1,"Africa","Direct","Cross-cutting","Intermediation 3",2,2,"Category C"
"6","FP005",5,0,0,3,0,0,2,"Africa","Direct","Cross-cutting","Intermediation 3",3,0,"Category C"
"7","FP007",14,9,0,5,0,0,0,"Asia-Pacific","International","Adaptation","Category B",5,0,"Category B"
"8","FP007",14,6,0,1,7,0,0,"Asia-Pacific","International","Adaptation","Category B",1,7,"Category B"
"9","FP008",7,0,0,0,5,2,0,"Asia-Pacific","International","Adaptation","Category B",0,7,"Category B"
"10","FP010",21,10,1,10,0,0,0,"Eastern Europe","International","Mitigation","Category C",11,0,"Category C"
"11","FP010",21,8,3,5,5,0,0,"Eastern Europe","International","Mitigation","Category C",8,5,"Category C"
"12","FP011",10,1,0,0,9,0,0,"Africa","International","Adaptation","Category C",0,9,"Category C"
"13","FP011",10,1,0,7,2,0,0,"Africa","International","Adaptation","Category C",7,2,"Category C"
"14","FP013",8,7,0,1,0,0,0,"Asia-Pacific","International","Cross-cutting","Category B",1,0,"Category B"
"15","FP013",9,1,0,7,1,0,0,"Asia-Pacific","International","Cross-cutting","Category B",7,1,"Category B"
"16","FP015",6,1,0,5,0,0,0,"Asia-Pacific","International","Adaptation","Category B",5,0,"Category B"
"17","FP015",6,1,0,3,2,0,0,"Asia-Pacific","International","Adaptation","Category B",3,2,"Category B"
"18","FP016",8,1,0,6,1,0,0,"Asia-Pacific","International","Adaptation","Category B",6,1,"Category B"
"19","FP016",8,0,0,6,2,0,0,"Asia-Pacific","International","Adaptation","Category B",6,2,"Category B"
"20","FP018",6,6,0,0,0,0,0,"Asia-Pacific","International","Adaptation","Category B",0,0,"Category B"
"21","FP018",2,0,0,0,2,0,0,"Asia-Pacific","International","Adaptation","Category B",0,2,"Category B"
"22","FP019",34,28,0,6,0,0,0,"L. America & Caribbean","International","Mitigation","Category B",6,0,"Category B"
"23","FP019",13,0,0,13,0,0,0,"L. America & Caribbean","International","Mitigation","Category B",13,0,"Category B"
"24","FP021",8,6,0,1,1,0,0,"Africa","International","Adaptation","Category A",1,1,"Category A"
"25","FP022",8,0,0,3,2,0,0,"Africa","Direct","Cross-cutting","Category B",3,2,"Category B"
"26","FP023",10,0,1,1,8,0,0,"Africa","Direct","Adaptation","Category C",2,8,"Category C"
"27","FP023",50,23,1,20,4,1,1,"Africa","Direct","Adaptation","Category C",21,5,"Category C"
"28","FP024",6,3,0,1,2,0,0,"Africa","Direct","Adaptation","Category C",1,2,"Category C"
"29","FP024",4,0,0,0,2,0,2,"Africa","Direct","Adaptation","Category C",0,2,"Category C"
"30","FP025",3,0,0,3,0,0,0,"Global","International","Cross-cutting","Intermediation 2",3,0,"Category B"
"31","FP026",77,40,8,22,6,0,1,"Africa","International","Cross-cutting","Category B",30,6,"Category B"
"32","FP028",9,1,0,8,0,0,0,"Asia-Pacific","Direct","Mitigation","Intermediation 2",8,0,"Category B"
"33","FP028",9,0,0,9,0,0,0,"Asia-Pacific","Direct","Mitigation","Intermediation 2",9,0,"Category B"
"34","FP033",10,5,0,5,0,0,0,"Africa","International","Mitigation","Category B",5,0,"Category B"
"35","FP033",10,5,0,1,4,0,0,"Africa","International","Mitigation","Category B",1,4,"Category B"
"36","FP034",10,3,7,0,0,0,0,"Africa","International","Adaptation","Category B",7,0,"Category B"
"37","FP034",10,1,1,2,6,0,0,"Africa","International","Adaptation","Category B",3,6,"Category B"
"38","FP035",56,33,0,8,13,0,2,"Asia-Pacific","Direct","Adaptation","Category C",8,13,"Category C"
"39","FP036",6,0,1,3,2,0,0,"Asia-Pacific","International","Cross-cutting","Category B",4,2,"Category B"
"40","FP037",10,7,1,2,0,0,0,"Asia-Pacific","International","Adaptation","Category B",3,0,"Category B"
"41","FP037",10,0,1,8,1,0,0,"Asia-Pacific","International","Adaptation","Category B",9,1,"Category B"
"42","FP039",4,0,0,4,0,0,0,"Africa","International","Mitigation","Category B",4,0,"Category B"
"43","FP039",6,1,0,4,1,0,0,"Africa","International","Mitigation","Category B",4,1,"Category B"
"44","FP040",5,0,0,5,0,0,0,"Asia-Pacific","International","Cross-cutting","Category B",5,0,"Category B"
"45","FP042",95,76,3,7,3,1,5,"Africa","International","Adaptation","Category B",10,4,"Category B"
"46","FP043",7,5,0,2,0,0,0,"Africa","International","Adaptation","Category B",2,0,"Category B"
"47","FP046",31,3,0,1,10,0,17,"Asia-Pacific","Direct","Mitigation","Intermediation 2",1,10,"Category B"
"48","FP047",11,4,0,7,0,0,0,"Asia-Pacific","International","Mitigation","Category A",7,0,"Category A"
"49","FP051",11,6,2,3,0,0,0,"Eastern Europe","International","Mitigation","Category C",5,0,"Category C"
"50","FP052",5,3,0,2,0,0,0,"Asia-Pacific","International","Mitigation","Category B",2,0,"Category B"
